ID,Length,NGN
"NC_037285.1 Populus trichocarpa isolate Nisqually-1 chromosome 1, Pop_tri_v3, whole genome shotgun sequence",50495391,5918185
"NC_037286.1 Populus trichocarpa isolate Nisqually-1 chromosome 2, Pop_tri_v3, whole genome shotgun sequence",25263035,3062444
"NC_037287.1 Populus trichocarpa isolate Nisqually-1 chromosome 3, Pop_tri_v3, whole genome shotgun sequence",21816808,2657931
"NC_037288.1 Populus trichocarpa isolate Nisqually-1 chromosome 4, Pop_tri_v3, whole genome shotgun sequence",24267051,2784605
"NC_037289.1 Populus trichocarpa isolate Nisqually-1 chromosome 5, Pop_tri_v3, whole genome shotgun sequence",25890704,3077093
"NC_037290.1 Populus trichocarpa isolate Nisqually-1 chromosome 6, Pop_tri_v3, whole genome shotgun sequence",27912125,3291116
"NC_037291.1 Populus trichocarpa isolate Nisqually-1 chromosome 7, Pop_tri_v3, whole genome shotgun sequence",15610913,1785461
"NC_037292.1 Populus trichocarpa isolate Nisqually-1 chromosome 8, Pop_tri_v3, whole genome shotgun sequence",19465461,2513513
"NC_037293.1 Populus trichocarpa isolate Nisqually-1 chromosome 9, Pop_tri_v3, whole genome shotgun sequence",12948742,1661002
"NC_037294.1 Populus trichocarpa isolate Nisqually-1 chromosome 10, Pop_tri_v3, whole genome shotgun sequence",22580532,2810787
"NC_037295.1 Populus trichocarpa isolate Nisqually-1 chromosome 11, Pop_tri_v3, whole genome shotgun sequence",18501271,2105652
"NC_037296.1 Populus trichocarpa isolate Nisqually-1 chromosome 12, Pop_tri_v3, whole genome shotgun sequence",15760346,1817502
"NC_037297.1 Populus trichocarpa isolate Nisqually-1 chromosome 13, Pop_tri_v3, whole genome shotgun sequence",16320717,1880366
"NC_037298.1 Populus trichocarpa isolate Nisqually-1 chromosome 14, Pop_tri_v3, whole genome shotgun sequence",18920894,2297527
"NC_037299.1 Populus trichocarpa isolate Nisqually-1 chromosome 15, Pop_tri_v3, whole genome shotgun sequence",15278577,1786815
"NC_037300.1 Populus trichocarpa isolate Nisqually-1 chromosome 16, Pop_tri_v3, whole genome shotgun sequence",14494361,1670912
"NC_037301.1 Populus trichocarpa isolate Nisqually-1 chromosome 17, Pop_tri_v3, whole genome shotgun sequence",16080358,1833196
"NC_037302.1 Populus trichocarpa isolate Nisqually-1 chromosome 18, Pop_tri_v3, whole genome shotgun sequence",16958300,1901570
"NC_037303.1 Populus trichocarpa isolate Nisqually-1 chromosome 19, Pop_tri_v3, whole genome shotgun sequence",15942145,1722024
"NW_020167869.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_20, whole genome shotgun sequence",948134,101576
"NW_020167870.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_21, whole genome shotgun sequence",931759,52746
"NW_020167871.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_22, whole genome shotgun sequence",1028913,45462
"NW_020167872.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_23, whole genome shotgun sequence",832320,47478
"NW_020167873.1 Populus trichocarpa isolate Nisqually-1 unplaced genomic scaffold, Pop_tri_v3 scaffold_24, whole genome shotgun sequence",673401,70134
